Time,Behavior,Comment
5218.495,Swallow,
5220.867,Feed,
5228.842,Out of water,
5237.484,Feed,
5255.085,Lturn,
5271.884,Feed,
5276.435,Out of water,
5288.158,Feed,
5301.86,Lturn while feed,
5305.908,Lturn,
5310.982,Straight swim,
5314.135,Swallow,
5315.611,Swallow,
5316.911,Swallow,
5320.074,Straight swim,
5322.882,Straight swim,
5334.723,Feed,
5343.222,Feed,
5349.501,Straight swim,
5363.297,Feed,
5370.011,Out of water,
5378.274,Straight swim,
5379.598,Lturn,
5385.851,Straight swim,
5387.098,Rturn,
5397.638,Rturn,
5403.076,Straight swim,
5406.501,Feed,
5422.199,Feed,
5428.547,Out of water,
5434.975,Straight swim,
5443.724,Swallow,
5444.797,Swallow,
5447.75,Feed,
5452.974,Straight swim,
5521.748,Straight swim,
5609.949,Straight swim,
5662,Straight swim,
5735.954,Straight swim,
5795.102,Straight swim,
5857.4,Straight swim,
5903.905,Straight swim,
5942.155,Straight swim,
6002.253,Straight swim,
6024.327,Feed,
6028.326,Out of water,
6034.201,Feed,
6038.205,Rturn while feed,
6054.276,Rturn,
6055.329,Swallow,
6057.527,Swallow,
6058.879,Swallow,
6062.102,Feed,
6064.48,Rturn while feed,
6071.805,Feed,
6073.93,Lturn while feed,
6079.526,Lturn,
6087.026,Straight swim,
6098.102,Feed,
6104.329,Out of water,
6124.253,Straight swim,
6126.128,Rturn,
6133.679,Feed,
6135.529,Rturn while feed,
6140.605,Rturn,
6144.855,Swallow,
6146.204,Swallow,
6147.804,Swallow,
6150.23,Straight swim,
6152.381,Rturn,
6155.578,Straight swim,
6206.879,Feed,
6212.402,Out of water,
6218.976,Straight swim,
6223.23,Lturn,
6224.92,Lturn while feed,
6229.12,Straight swim,
6280.967,Straight swim,
6290.994,Straight swim,
6312.393,Straight swim,
6330.406,Straight swim,
6368.434,Straight swim,
6381.834,Straight swim,
6399.609,Swim along bottom,
6473.081,Swim along bottom,
6558.609,Straight swim,
6726.688,Straight swim,
6850.586,Straight swim,
6857.088,Rturn,
6866.385,Swim along bottom,
6885.686,Straight swim,
6923.049,Swim along bottom,
6979.625,Straight swim,
7012.174,Rturn,
7025.822,Straight swim,
7039.249,Swim along bottom,
7063.775,Rturn,
7069.325,Rturn,
7085.775,Straight swim,
7110.721,Swallow,
7114.18,Straight swim,
7140.796,Straight swim,
7215.625,Straight swim,
7244.495,Straight swim,
7281.55,Swallow,
7285.848,Straight swim,
7307.071,Swallow,
7307.899,Swallow,
7310.575,Straight swim,
7322.745,Rturn,
7346.975,Straight swim,
7353.531,Lturn,
7365.157,Straight swim,
7368.878,Rturn,
7380.956,Straight swim,
7394.027,Rturn,
7413.254,Straight swim,
7528.528,Straight swim,
7534.101,Rturn,
7538.327,Straight swim,
7552.678,Feed,
7554.277,Feed,
7554.855,Feed,
7557.204,Lturn while feed,
7562.2,Feed,
7570.68,Lturn while feed,
7576.729,Rturn while feed,
7579.077,Lturn while feed,
7583.305,Rturn while feed,
7592.777,Out of water,
7609.633,Swallow,
7610.951,Swallow,
7612.23,Swallow,
7613.675,Swallow,
7615.525,Lturn,
7624.975,Out of water,
7646.479,Feed,
7655.35,Straight swim,
7823.055,Feed,
7851.805,Rturn while feed,
7855.46,Lturn while feed,
7860.984,Out of water,
7868.656,Rturn,
7871.085,Swallow,
7872.406,Swallow,
7873.721,Swallow,
7876.906,Feed,
7878.757,Rturn while feed,
7888.005,Straight swim,
7908.809,Feed,
7910.16,Rturn while feed,
7910.988,Straight swim,
7912.508,Lturn while feed,
7920.109,Straight swim,
7927.592,Straight swim,
7955.188,Rturn,
7959.99,Straight swim,
8010.218,Straight swim,
8102.343,Straight swim,
8130.942,Straight swim,
8185.819,Straight swim,
8232.567,Straight swim,
8239.015,Swallow,
8241.37,Straight swim,
8255.666,Straight swim,
8279.827,Swallow,
8281.975,Swallow,
8285.477,Straight swim,
8330.877,Straight swim,
8462.018,Straight swim,
8530.117,Feed,
8537.894,Straight swim,
8720.144,Straight swim,
8727.443,Swim along bottom,
8953.395,Straight swim,
8957.17,Swim along bottom,
9031.172,Swim along bottom,
9038.52,Swim along bottom,
9110.394,Swim along bottom,
9187.965,Swim along bottom,
9214.693,Straight swim,
9289.118,Straight swim,
9332.272,Rturn,
9341.131,Straight swim,
9367.75,Swim along bottom,
9420.852,Swim along bottom,
9492.821,Swim along bottom,
9523.221,Swim along bottom,
9607.022,Straight swim,
9633.664,Straight swim,
9713.635,Straight swim,
9931.603,Swim along bottom,
10172.321,Straight swim,
10235.999,Swim along bottom,
10425.622,Straight swim,
10469.173,Rturn,
10476.536,Straight swim,
10477.257,Lturn,
10481.305,Straight swim,
10484.337,Rturn,
10510.68,Straight swim,
10512.157,Feed,
10518.484,Lturn while feed,
10524.229,Out of water,
10534.284,Lturn,
10536.973,Rturn,
10543.426,Feed,
10546.821,Out of water,
10558.346,Straight swim,
10559.448,Lturn,
10560.921,Straight swim,
10571.226,Straight swim,
10606.326,Swim along bottom,
10685.673,Swim along bottom,
10713.174,Straight swim,
10737.148,Swim along bottom,
10740.352,Swim along bottom,
10751.637,Straight swim,
10762.754,Straight swim,
