Time,Behavior,Comment
5274.488,Lturn while feed,
5280.511,Out of water,
5284.837,Feed,
5285.561,Rturn while feed,
5289.884,Feed,
5293.387,Rturn while feed,
5296.811,Feed,
5299.886,Feed,
5304.787,Rturn while feed,
5307.885,Feed,
5309.437,Straight swim,
5313.308,Swallow,
5314.41,Swallow,
5315.362,Swallow,
5316.233,Swallow,
5320.583,Straight swim,
5405.037,Feed,
5451.094,Rturn while feed,
5454.467,Feed,
5463.419,Swallow,
5464.493,Swallow,
5465.567,Swallow,
5466.69,Swallow,
5468.219,Swallow,
5469.969,Straight swim,
5476.343,Right turn,
5479.643,Straight swim,
5481.567,Right turn,
5487.343,Right turn,
5493.744,Straight swim,
5497.793,Left turn,
5506.393,Straight swim,
5524.615,Left turn,
5542.092,Straight swim,
5543.517,Left turn,
5547.193,Left turn,
5548.268,Left turn,
5550.842,Left turn,
5552.927,Conspecific interaction,
5557.552,Left turn,
5558.726,Conspecific interaction,
5596.073,Conspecific interaction,
5609.45,Conspecific interaction,
5683.626,Swallow,
5684.976,Swallow,
5686.975,Straight swim,
5688.248,Conspecific interaction,
5726.344,Conspecific interaction,
5763.319,Straight swim,
5772.37,Left turn,
5786.12,Conspecific interaction,
5793.266,Conspecific interaction,
5795.817,Left turn,
5796.895,Conspecific interaction,
5798.568,Left turn,
5800.669,Conspecific interaction,
5802.219,Left turn,
5803.793,Conspecific interaction,
5805.12,Left turn,
5807.519,Conspecific interaction,
5809.845,Left turn,
5811.141,Conspecific interaction,
5812.692,Left turn,
5818.544,Conspecific interaction,
5822.045,Conspecific interaction,
5844.42,Conspecific interaction,
5858.52,Straight swim,
5875.466,Conspecific interaction,
5895.22,Straight swim,
5908.97,Left turn,
5915.844,Straight swim,
5953.419,Right turn,
5958.201,Straight swim,
5965.367,Right turn,
5970.894,Swallow,
5972.466,Swallow,
5974.117,Straight swim,
5977.07,Right turn,
5978.406,Straight swim,
6021.817,Straight swim,
6423.281,Swallow,
6426.455,Straight swim,
6497.782,Swallow,
6499.928,Swallow,
6502.003,Straight swim,
6506.213,Swallow,
6508.615,Straight swim,
6534.04,Feed,
6535.62,Out of water,
6538.962,Straight swim,
6540.055,Right turn,
6544.258,Straight swim,
6564.877,Left turn,
6578.631,Straight swim,
6912.948,Swallow,
6915.049,Swallow,
6916.872,Straight swim,
6918.449,Left turn,
6927.247,Straight swim,
7177.572,Swallow,
7178.647,Swallow,
7202.437,Swim along ground,
7281.337,Straight swim,
7490.845,Swallow,
7491.918,Swallow,
7494.317,Straight swim,
