"","Time","Pressure","Compass1","Compass2","Compass3","AccelSway","Sway.g.","AccelSurge","Surge.g.","AccelHeave","Heave.g.","Temperature","Gyro1","Gyro2","Gyro3","Accel1","Accel2","Accel3","Temp2","Light","TempExt","ODBA","Time","Behavior","Comments","feeding"
"169",19.81755,-0.6368613838,453,196,981,-4496,-0.548828125,6176,0.75390625,-3376,-0.412109375,896,-396,1212,-133,7860,-12088,-5932,62624,3500,20.8125,0.033203125,19:49:53,"Left turn",NA,0
"170",19.81756667,-0.6524099452,357,-6,916,-5392,-0.658203125,5920,0.72265625,-3296,-0.40234375,896,-933,1650,221,11844,-10936,-5860,62656,3500,20.75,-0.021484375,19:49:54,"Left turn",NA,0
"171",19.81758333,-0.6372280025,279,-30,879,-5168,-0.630859375,5392,0.658203125,-2384,-0.291015625,896,87,-1018,141,10968,-11100,-3700,62608,3500,20.6875,-0.224609375,19:49:55,"Left turn",NA,0
"172",19.8176,-0.624965916,253,131,883,-112,-0.013671875,6848,0.8359375,-6720,-0.8203125,960,-132,-761,-124,428,-13772,-12240,62608,3500,20.6875,0.008463542,19:49:56,"Left turn",NA,0
"173",19.81761667,-0.6263145491,296,185,900,480,0.05859375,6592,0.8046875,-5392,-0.658203125,960,-76,-288,146,-1760,-12804,-8016,62656,3500,20.75,0.194010417,19:49:57,"Left turn",NA,0
"174",19.81763333,-0.6416339738,294,193,916,544,0.06640625,5504,0.671875,-5456,-0.666015625,960,-54,-24,-55,-324,-10548,-8300,62624,3500,20.75,0.069010417,19:49:58,"Right turn",NA,0
"175",19.81765,-0.6476242617,255,69,920,-2000,-0.244140625,7872,0.9609375,-5808,-0.708984375,960,255,984,-109,4268,-14488,-9692,62624,3500,20.6875,0.057291667,19:49:59,"Right turn",NA,0
"176",19.83333333,-0.6271198009,287,-38,985,-7632,-0.931640625,3440,0.419921875,-1392,-0.169921875,960,701,-434,-262,16288,-6900,-1664,62640,3500,20.6875,-0.0625,19:50:00,"Right turn",NA,0
"177",19.83335,-0.6288023189,258,-49,955,-5344,-0.65234375,7120,0.869140625,-192,-0.0234375,960,-18,2,120,12208,-12488,-936,62656,3500,20.6875,0.004557292,19:50:01,"Right turn",NA,0
"178",19.83336667,-0.6289987218,245,-81,943,-4688,-0.572265625,6672,0.814453125,-256,-0.03125,960,40,161,49,8516,-14584,1376,62624,3500,20.6875,0.015625,19:50:02,"Right turn",NA,0
"179",19.83338333,-0.6123372107,162,-160,913,-3728,-0.455078125,6816,0.83203125,1968,0.240234375,960,106,-840,216,10332,-13656,3392,62672,3500,20.6875,0.134114583,19:50:03,"Right turn",NA,0
"180",19.8334,-0.6064189372,208,-107,927,-5792,-0.70703125,6176,0.75390625,-672,-0.08203125,960,-166,-18,-16,10784,-10652,-1164,62640,3500,20.6875,-0.119140625,19:50:04,"Straight swim",NA,0
"181",19.83341667,-0.6076497286,225,-73,930,-4736,-0.578125,6480,0.791015625,-48,-0.005859375,960,-193,571,102,11400,-12236,1220,62688,3500,20.6875,-0.070963542,19:50:05,"Straight swim",NA,0
